date,open,close,high,low,volume,money
1/30/2023 9:31,6276.8,6237.2,6276.8,6231.2,53,66234160
1/30/2023 9:32,6226.8,6217.8,6231.2,6217.8,19,23651200
1/30/2023 9:33,6220.4,6229.8,6229.8,6220,16,19916280
1/30/2023 9:34,6230,6237,6239,6230,18,22450160
1/30/2023 9:35,6236.8,6230.6,6239.2,6229.8,19,23679680
1/30/2023 9:36,6232.8,6220.6,6232.8,6220.6,18,22423080
1/30/2023 9:37,6226.2,6221.6,6226.2,6217.4,18,22396200
1/30/2023 9:38,6221.2,6215.2,6221.2,6214.8,15,18650240
1/30/2023 9:39,6214.2,6208,6215.4,6208,30,37263400
1/30/2023 9:40,6210,6214.4,6214.4,6206.8,22,27320760
1/30/2023 9:41,6212.8,6224,6225.8,6212.8,8,9952480
1/30/2023 9:42,6224.4,6225.6,6225.6,6221.2,12,14934760
1/30/2023 9:43,6232.8,6230.6,6233.2,6230.6,19,23682840
1/30/2023 9:44,6237.2,6239,6242.4,6237.2,21,26205720
1/30/2023 9:45,6239.6,6230,6240,6230,23,28686680
1/30/2023 9:46,6232,6230.4,6234.8,6230.4,9,11218040
1/30/2023 9:47,6232.2,6231.2,6233.2,6229.2,33,41132160
1/30/2023 9:48,6230.2,6232.2,6232.2,6229.8,15,18692640
1/30/2023 9:49,6232,6232.2,6235.6,6231.2,13,16203880
1/30/2023 9:50,6230.2,6224.6,6230.2,6221.6,15,18675720
1/30/2023 9:51,6223.6,6218.6,6223.6,6218.6,8,9952280
1/30/2023 9:52,6218.6,6221,6225.6,6218.6,29,36087600
1/30/2023 9:53,6218.2,6213.4,6219,6211,14,17402280
1/30/2023 9:54,6213.6,6205,6214.4,6205,23,28565400
1/30/2023 9:55,6205,6204,6205,6202,17,21091440
1/30/2023 9:56,6204,6205.6,6208,6202,25,31020480
1/30/2023 9:57,6206,6208.8,6209.4,6206,13,16140880
1/30/2023 9:58,6211,6212.4,6212.4,6209.4,24,29813400
1/30/2023 9:59,6212.8,6212.6,6213.6,6211.6,18,22365920
