date,open,close,high,low,volume,money
1/30/2023 9:31,4269.8,4273.8,4278,4266.8,102,130770120
1/30/2023 9:32,4270,4261,4272.2,4258.2,8,10239300
1/30/2023 9:33,4261.2,4277,4277,4258.8,15,19211100
1/30/2023 9:34,4273.2,4266.2,4273.2,4266.2,37,47399340
1/30/2023 9:35,4266,4258.6,4266,4258,71,90756120
1/30/2023 9:36,4258.4,4246,4260.4,4245,65,82913220
1/30/2023 9:37,4243.6,4244.2,4246.8,4238,70,89070060
1/30/2023 9:38,4241.8,4239.2,4245.6,4238.2,69,87818820
1/30/2023 9:39,4239.6,4236.8,4241.6,4234.2,36,45769200
1/30/2023 9:40,4237.8,4238.4,4238.4,4236,24,30507240
1/30/2023 9:41,4238,4236.2,4239,4234,35,44483820
1/30/2023 9:42,4233,4234.8,4234.8,4230.4,20,25396740
1/30/2023 9:43,4234.8,4240.6,4243.4,4234.8,30,38142300
1/30/2023 9:44,4239.4,4241,4242.4,4239.4,13,16540620
1/30/2023 9:45,4241,4242.2,4242.2,4240,18,22903320
1/30/2023 9:46,4243.2,4240.2,4243.2,4240,65,82705440
1/30/2023 9:47,4240,4243.6,4246.2,4240,39,49626000
1/30/2023 9:48,4243.2,4241.2,4245,4241.2,24,30552120
1/30/2023 9:49,4242,4239,4242.6,4239,25,31807380
1/30/2023 9:50,4238,4237.8,4238,4235,47,59734980
1/30/2023 9:51,4236.8,4235.6,4238.2,4235,41,52099620
1/30/2023 9:52,4235.4,4236.4,4238,4235.4,21,26693100
1/30/2023 9:53,4236.4,4237.6,4237.6,4235,24,30498840
1/30/2023 9:54,4238.4,4233.2,4238.6,4233.2,44,55919760
1/30/2023 9:55,4233.6,4236.2,4236.2,4232,13,16512300
1/30/2023 9:56,4235,4237.8,4238.6,4235,15,19065240
1/30/2023 9:57,4238.8,4240.2,4240.8,4238.8,15,19080180
1/30/2023 9:58,4240.4,4240,4241.6,4238.4,51,64872480
1/30/2023 9:59,4239.2,4240.4,4243,4239.2,34,43263420
1/30/2023 10:00,4240,4240.2,4240.4,4240,20,25441680
1/30/2023 10:01,4240,4240.4,4240.6,4237.6,43,54691440
1/30/2023 10:02,4240,4237.8,4240.2,4237,18,22887240
1/30/2023 10:03,4237.2,4240.8,4240.8,4236.6,33,41960760
1/30/2023 10:04,4241,4238.8,4241,4238.2,31,39430560
1/30/2023 10:05,4239.6,4236,4241.8,4236,37,47033280
1/30/2023 10:06,4236,4231.4,4236,4231.4,51,64778940
1/30/2023 10:07,4232.8,4231.2,4233,4231.2,28,35551080
1/30/2023 10:08,4230.2,4230.8,4231,4229.2,16,20305800
1/30/2023 10:09,4227.2,4225,4227.2,4225,9,11410620
1/30/2023 10:10,4225.4,4227.2,4228.4,4225.4,9,11412060
1/30/2023 10:11,4226.2,4224.4,4227,4224.4,15,19016760
1/30/2023 10:12,4224.6,4227.2,4228,4223.8,18,22818600
1/30/2023 10:13,4227.4,4228.8,4231,4226.8,17,21563700
1/30/2023 10:14,4229.4,4232.2,4232.8,4229.4,13,16500720
1/30/2023 10:15,4232.8,4234,4235.2,4232.8,10,12702120
1/30/2023 10:16,4233.8,4236.6,4236.6,4232.8,13,16510200
1/30/2023 10:17,4237.6,4234.8,4237.6,4234.8,14,17792400
1/30/2023 10:18,4233,4231,4233.2,4231,14,17773380
1/30/2023 10:19,4231.2,4232,4232.4,4229.2,30,38077380
1/30/2023 10:20,4232,4230.2,4232.6,4230.2,24,30468600
1/30/2023 10:21,4230,4228.4,4230,4227.2,15,19029240
1/30/2023 10:22,4228.4,4228.8,4228.8,4227,13,16488600
1/30/2023 10:23,4228,4226.6,4228,4225.2,29,36771720
1/30/2023 10:24,4226.6,4227,4227.8,4225.4,10,12680100
1/30/2023 10:25,4228.2,4227,4228.2,4226.6,12,15218040
1/30/2023 10:26,4227.4,4227,4227.4,4227,19,24094740
1/30/2023 10:27,4226.2,4227,4227,4225.8,26,32966040
1/30/2023 10:28,4226,4229.6,4229.6,4225.8,23,29165940
1/30/2023 10:29,4229.6,4229.4,4229.6,4227.6,10,12685140
