date,open,close,high,low,volume,money
1/30/2023 9:31,2908.4,2887.8,2908.4,2887.8,54,46916340
1/30/2023 9:32,2885,2876.4,2892,2875.6,26,22463400
1/30/2023 9:33,2876,2885,2885,2876,17,14686500
1/30/2023 9:34,2892,2882.8,2892,2882.2,29,25098480
1/30/2023 9:35,2883.2,2875,2883.2,2875,45,38862240
1/30/2023 9:36,2874.2,2872.2,2877,2872.2,29,25005720
1/30/2023 9:37,2872.2,2875.8,2875.8,2867,28,24105660
1/30/2023 9:38,2875.8,2869.4,2876.4,2867.8,46,39643740
1/30/2023 9:39,2869.2,2869.8,2871.6,2869,29,24967620
1/30/2023 9:40,2870,2867.2,2870,2867.2,19,16351380
1/30/2023 9:41,2867.8,2863.2,2867.8,2862,17,14610300
1/30/2023 9:42,2863,2862.6,2863.4,2861.2,16,13738620
1/30/2023 9:43,2866.8,2864,2867,2864,19,16337160
1/30/2023 9:44,2866.8,2865.2,2867.4,2865.2,13,11179680
1/30/2023 9:45,2866.4,2866.6,2866.6,2865.2,6,5158680
1/30/2023 9:46,2870,2867.8,2870,2866,30,25807860
1/30/2023 9:47,2869.6,2868.8,2869.8,2866,10,8605020
1/30/2023 9:48,2870.4,2871.6,2875,2870.4,93,80173500
1/30/2023 9:49,2872.8,2869.8,2872.8,2869.8,38,32727240
1/30/2023 9:50,2870,2863.4,2870,2863,35,30102360
1/30/2023 9:51,2866.4,2863.4,2866.4,2863.4,25,21487860
1/30/2023 9:52,2866.6,2865.4,2867,2864.2,16,13756140
1/30/2023 9:53,2865,2866.2,2866.2,2864.2,19,16330380
1/30/2023 9:54,2864.6,2864.4,2867.8,2864.4,50,42987060
1/30/2023 9:55,2864.8,2865.4,2865.8,2864,31,26642340
1/30/2023 9:56,2864,2867.6,2868,2864,33,28377180
1/30/2023 9:57,2869.2,2868.6,2871.4,2867.8,23,19799580
1/30/2023 9:58,2868,2867.2,2870.6,2866.8,33,28391880
1/30/2023 9:59,2868,2869.6,2870.6,2867.6,20,17213280
1/30/2023 10:00,2870.6,2869.4,2870.6,2869,17,14636160
1/30/2023 10:01,2869,2870.2,2870.6,2868.6,31,26680860
1/30/2023 10:02,2869,2867,2869,2866,14,12043380
1/30/2023 10:03,2865.4,2867,2868,2865,15,12897600
1/30/2023 10:04,2868,2863.8,2868,2863.8,16,13756140
1/30/2023 10:05,2865.6,2863,2866.4,2863,27,23201880
1/30/2023 10:06,2862.4,2860.8,2863,2860.8,26,22323060
1/30/2023 10:07,2860.8,2860.2,2861.4,2859.8,25,21453540
1/30/2023 10:08,2860,2858,2860.8,2858,8,6862140
1/30/2023 10:09,2858,2858.4,2860.2,2858,45,38597340
1/30/2023 10:10,2858.4,2857.4,2859,2857.4,14,12005460
1/30/2023 10:11,2857.4,2856.4,2857.8,2856.2,13,11142540
1/30/2023 10:12,2857,2858.4,2860,2856.6,22,18861540
1/30/2023 10:13,2858.6,2861.8,2861.8,2858,18,15441000
1/30/2023 10:14,2861.8,2862.6,2864,2861.8,21,18032640
1/30/2023 10:15,2862.6,2864,2864.4,2862.6,10,8590500
1/30/2023 10:16,2862.6,2862.8,2863,2862,19,16317180
1/30/2023 10:17,2864.6,2862.6,2864.6,2862.6,8,6871680
1/30/2023 10:18,2862.6,2860.6,2863.4,2860.6,18,15456960
1/30/2023 10:19,2862.8,2862.4,2862.8,2860.2,16,13736580
1/30/2023 10:20,2862.2,2861.4,2862.4,2861.2,15,12879600
1/30/2023 10:21,2860,2857.8,2860,2856.4,13,11144940
1/30/2023 10:22,2857.8,2857.2,2858.6,2857,28,24005520
1/30/2023 10:23,2857.2,2854.6,2857.2,2854.2,24,20561760
1/30/2023 10:24,2856,2857,2857.4,2854.6,24,20565360
1/30/2023 10:25,2856.2,2856.2,2856.2,2854.4,15,12849600
1/30/2023 10:26,2855.8,2855.4,2856.6,2855,17,14563860
1/30/2023 10:27,2855,2857,2857,2855,9,7710060
1/30/2023 10:28,2855.2,2858.8,2858.8,2855.2,25,21428160
1/30/2023 10:29,2858.8,2856.6,2858.8,2856.4,14,11999700
1/30/2023 10:30,2856.2,2854.4,2856.2,2854.2,12,10277940
1/30/2023 10:31,2854,2852,2854,2852,20,17117520
1/30/2023 10:32,2852,2849,2852,2849,15,12826620
1/30/2023 10:33,2849.8,2851.2,2851.2,2849.8,5,4275720
1/30/2023 10:34,2850.4,2851,2851.4,2850.2,13,11118000
1/30/2023 10:35,2850.4,2849.8,2852,2849.8,17,14537400
1/30/2023 10:36,2849,2846.8,2849,2846.8,13,11105340
1/30/2023 10:37,2846.6,2849.6,2849.6,2846,19,16230120
1/30/2023 10:38,2847.8,2846.2,2848,2846.2,11,9396540
1/30/2023 10:39,2845.8,2846.4,2848.4,2845.2,21,17935680
1/30/2023 10:40,2846.8,2848.6,2848.6,2846.8,6,5125320
1/30/2023 10:41,2848.4,2848.4,2849,2847.6,20,17089500
1/30/2023 10:42,2848.6,2845.2,2848.6,2845.2,13,11101620
1/30/2023 10:43,2845.6,2847,2847,2845.6,11,9392760
1/30/2023 10:44,2847,2848.4,2848.4,2847,3,2562900
1/30/2023 10:45,2847.2,2849,2849,2846.6,8,6834240
1/30/2023 10:46,2848.2,2848.2,2848.8,2848,6,5127060
1/30/2023 10:47,2848.4,2849.8,2849.8,2847.6,12,10255440
1/30/2023 10:48,2850,2848.2,2850.4,2847.2,28,23937060
1/30/2023 10:49,2848.4,2847.4,2848.4,2847.4,14,11962620
1/30/2023 10:50,2847.2,2848,2848.2,2845.6,23,19647000
1/30/2023 10:51,2846.2,2845,2847.6,2845,20,17073900
1/30/2023 10:52,2844.6,2845,2846.2,2844.6,9,7682880
1/30/2023 10:53,2844.4,2845.2,2845.4,2843.4,12,10241760
1/30/2023 10:54,2845,2845.2,2845.2,2844,16,13655040
1/30/2023 10:55,2845.2,2843.8,2845.2,2843.8,30,25602180
1/30/2023 10:56,2843.8,2844.8,2844.8,2842.8,14,11943480
1/30/2023 10:57,2846.2,2845.4,2846.2,2845,5,4268580
1/30/2023 10:58,2846,2846.6,2846.6,2845.2,7,5975820
1/30/2023 10:59,2848.2,2847.6,2848.2,2847.6,4,3417600
1/30/2023 11:00,2848.2,2848,2848.2,2847.4,6,5126220
1/30/2023 11:01,2850,2850,2851,2850,17,14536440
1/30/2023 11:02,2850,2847.2,2850.2,2847.2,17,14529720
1/30/2023 11:03,2847.8,2846.2,2847.8,2846.2,6,5124240
1/30/2023 11:04,2847.6,2848.4,2848.4,2847.6,18,15380520
1/30/2023 11:05,2850,2848.8,2851.2,2848.6,4,3419580
1/30/2023 11:06,2849,2848.8,2850,2848.6,8,6837600
1/30/2023 11:07,2848.8,2849.6,2850.2,2848.8,16,13679100
1/30/2023 11:08,2849.6,2849.4,2851,2849.4,15,12824040
1/30/2023 11:09,2848.4,2847.8,2849.8,2847.4,12,10253880
1/30/2023 11:10,2847.6,2847.8,2847.8,2847.6,5,4271460
1/30/2023 11:11,2848.2,2848.6,2849.4,2848.2,12,10255980
1/30/2023 11:12,2849.8,2848.8,2849.8,2848.8,4,3419280
1/30/2023 11:13,2848.8,2850.2,2850.6,2848.8,8,6839580
1/30/2023 11:14,2850.6,2850.8,2851,2850.4,9,7697100
1/30/2023 11:15,2851,2851.6,2851.6,2850.8,7,5987400
1/30/2023 11:16,2853.6,2853.6,2853.6,2853.6,2,1712160
1/30/2023 11:17,2853.2,2852.6,2853.2,2851.6,8,6846000
1/30/2023 11:18,2854.4,2853,2854.4,2853,3,2568120
1/30/2023 11:19,2853.4,2854.2,2854.2,2853.4,5,4280820
1/30/2023 11:20,2854.2,2854,2854.4,2853.6,6,5137200
1/30/2023 11:21,2854,2854,2854.4,2854,10,8562600
1/30/2023 11:22,2853.8,2852.6,2853.8,2851.4,10,8558700
1/30/2023 11:23,2853.4,2853.4,2853.4,2853.4,1,856020
1/30/2023 11:24,2853.6,2853.8,2853.8,2853.6,2,1712220
1/30/2023 11:25,2854.2,2854.2,2854.2,2854.2,2,1712520
1/30/2023 11:26,2853.4,2854.6,2854.6,2853.4,4,3424560
1/30/2023 11:27,2854.4,2853.2,2855.2,2853.2,9,7705680
1/30/2023 11:28,2853.2,2853.2,2853.2,2853.2,0,0
1/30/2023 11:29,2853.2,2853.2,2853.2,2853.2,3,2567880
1/30/2023 11:30,2853.2,2851.6,2853.4,2851.6,5,4279200
1/30/2023 13:01,2851.4,2845,2851.4,2845,12,10254420
1/30/2023 13:02,2846.6,2848.4,2848.4,2845.2,8,6831060
1/30/2023 13:03,2849,2847.2,2849,2847.2,5,4271700
1/30/2023 13:04,2847.2,2841.6,2847.8,2841.6,12,10242120
1/30/2023 13:05,2841.2,2841.2,2843,2840.4,15,12786840
1/30/2023 13:06,2841.2,2839.4,2841.2,2838.4,12,10222140
1/30/2023 13:07,2839.6,2841.2,2841.2,2838.8,6,5112180
1/30/2023 13:08,2840.8,2839.2,2840.8,2839,7,5964060
1/30/2023 13:09,2840.2,2842.8,2842.8,2840.2,7,5967120
1/30/2023 13:10,2842.8,2844,2844,2842.8,4,3412020
1/30/2023 13:11,2843,2843,2843,2843,3,2558700
1/30/2023 13:12,2844,2843,2844,2843,13,11088120
1/30/2023 13:13,2843,2841.4,2843,2840,35,29846280
1/30/2023 13:14,2841,2841,2841,2841,2,1704600
1/30/2023 13:15,2842.6,2843.8,2843.8,2841.8,9,7677300
1/30/2023 13:16,2842,2841.2,2842,2841.2,8,6820260
1/30/2023 13:17,2841,2840,2841.2,2840,5,4260960
1/30/2023 13:18,2839.8,2838.8,2840,2838.8,5,4258920
1/30/2023 13:19,2838.8,2839.6,2839.8,2838.6,15,12775080
1/30/2023 13:20,2839.6,2838.6,2839.6,2838.4,4,3406500
1/30/2023 13:21,2839,2838.2,2839.2,2838.2,5,4257840
1/30/2023 13:22,2838.4,2838,2839.6,2838,8,6812520
1/30/2023 13:23,2837,2835,2837,2835,7,5955720
1/30/2023 13:24,2835.6,2837.2,2837.2,2835.6,11,9360000
1/30/2023 13:25,2836.4,2836.4,2837,2836.4,3,2552940
1/30/2023 13:26,2836.8,2836,2838,2836,12,10211460
1/30/2023 13:27,2836,2836,2836,2835.2,3,2552160
1/30/2023 13:28,2836.8,2838.8,2839.4,2836.8,12,10218300
1/30/2023 13:29,2839.4,2840,2840,2839.4,2,1703820
1/30/2023 13:30,2839.6,2839,2839.6,2839,3,2555280
1/30/2023 13:31,2838.6,2838.6,2838.6,2838.6,3,2554740
1/30/2023 13:32,2836.4,2836.2,2836.4,2836,5,4254420
1/30/2023 13:33,2835.8,2832.6,2836.2,2832,19,16153080
1/30/2023 13:34,2832.6,2834,2834,2830.4,8,6796260
1/30/2023 13:35,2833.4,2835,2835,2833.4,5,4251120
1/30/2023 13:36,2836,2836,2836,2836,3,2552400
1/30/2023 13:37,2836.6,2837.2,2838,2836.6,5,4256040
1/30/2023 13:38,2837.2,2838,2838,2836.4,5,4256220
1/30/2023 13:39,2838.4,2840,2840,2838.4,6,5110800
1/30/2023 13:40,2839.6,2839.4,2839.6,2839.4,3,2555580
1/30/2023 13:41,2839,2837.6,2839.2,2837.6,13,11069820
1/30/2023 13:42,2838.6,2839.6,2839.6,2838.6,2,1703460
1/30/2023 13:43,2839.2,2839.4,2839.6,2838.6,5,4258800
1/30/2023 13:44,2837.6,2837.8,2838.4,2837.4,8,6811380
1/30/2023 13:45,2836.8,2836.6,2837.2,2836.6,3,2553180
1/30/2023 13:46,2836.6,2836.6,2836.6,2836.6,0,0
1/30/2023 13:47,2838,2838,2838,2838,4,3405240
1/30/2023 13:48,2838.2,2839.4,2839.4,2838.2,5,4258620
1/30/2023 13:49,2838.8,2840.8,2841.8,2838.8,21,17897220
1/30/2023 13:50,2840.6,2839.4,2841,2839.4,9,7669140
1/30/2023 13:51,2839.4,2839.4,2839.4,2839.4,2,1703640
1/30/2023 13:52,2839.6,2839.4,2839.8,2839.4,8,6814800
1/30/2023 13:53,2839.6,2840,2840,2839.6,3,2555880
1/30/2023 13:54,2840.2,2838.4,2840.2,2838.4,17,14479200
1/30/2023 13:55,2838.8,2837,2838.8,2836.8,7,5958900
1/30/2023 13:56,2836.2,2837.6,2837.6,2836.2,4,3403980
1/30/2023 13:57,2836,2836.2,2836.2,2836,2,1701660
1/30/2023 13:58,2836.2,2836.2,2836.4,2835.6,7,5955720
1/30/2023 13:59,2835.6,2836,2836,2835.6,6,5104200
1/30/2023 14:00,2836,2834.8,2836,2834.8,8,6804240
1/30/2023 14:01,2835,2839,2839,2835,8,6809520
1/30/2023 14:02,2839.2,2837.2,2839.2,2837.2,9,7663020
1/30/2023 14:03,2837.8,2835,2837.8,2835,2,1701840
1/30/2023 14:04,2834.4,2836.8,2836.8,2834.4,5,4253220
1/30/2023 14:05,2836,2834.4,2836,2834.4,4,3401880
1/30/2023 14:06,2834.8,2835.6,2835.6,2834.8,4,3402360
1/30/2023 14:07,2835,2835,2835,2835,1,850500
1/30/2023 14:08,2834,2833.2,2834,2832.6,7,5949540
1/30/2023 14:09,2833.2,2833,2833.2,2833,4,3399780
1/30/2023 14:10,2832.6,2832.4,2833.2,2832.4,5,4249320
