date,open,close,high,low,volume,money
1/30/2023 9:31,6715.2,6721,6735,6715,82,110224760
1/30/2023 9:32,6700.8,6695,6702,6684.8,19,25450880
1/30/2023 9:33,6694,6719,6721,6694,20,26841360
1/30/2023 9:34,6721.2,6724.8,6736.6,6721.2,18,24231840
1/30/2023 9:35,6729.8,6720,6729.8,6720,11,14790960
1/30/2023 9:36,6723,6718,6725.2,6706.4,28,37619280
1/30/2023 9:37,6717.8,6717,6719.6,6715,25,33584760
1/30/2023 9:38,6711,6700,6711,6693,44,58956520
1/30/2023 9:39,6700.6,6691.2,6700.6,6690,21,28116600
1/30/2023 9:40,6689,6687,6691.6,6683.2,16,21402480
1/30/2023 9:41,6688.6,6696.4,6702.2,6686.8,31,41494320
1/30/2023 9:42,6695,6691.6,6696.8,6690.2,24,32125320
1/30/2023 9:43,6694.6,6694.6,6698,6692.6,21,28121680
1/30/2023 9:44,6696,6705.8,6705.8,6695.4,16,21444240
1/30/2023 9:45,6704,6698.6,6705.6,6696.2,28,37526040
1/30/2023 9:46,6697,6703,6705.2,6696.4,21,28144800
1/30/2023 9:47,6704.2,6696.2,6704.2,6696,37,49584160
1/30/2023 9:48,6694.2,6695.8,6700.6,6693.6,25,33485400
1/30/2023 9:49,6698.2,6697,6698.2,6694.4,11,14732200
1/30/2023 9:50,6695.8,6692,6697,6690,37,49525720
1/30/2023 9:51,6691.4,6692.4,6697,6691.4,16,21418280
1/30/2023 9:52,6693,6693.6,6696.2,6692.6,16,21419880
1/30/2023 9:53,6693,6686.2,6693,6686.2,23,30775400
1/30/2023 9:54,6687.6,6682.6,6689,6682.6,6,8023240
1/30/2023 9:55,6680.4,6674.2,6680.4,6674.2,20,26707000
1/30/2023 9:56,6668.2,6672.2,6672.2,6667,7,9337040
1/30/2023 9:57,6672,6675.4,6675.4,6672,6,8007680
1/30/2023 9:58,6680,6678.2,6682.6,6676.4,10,13358200
1/30/2023 9:59,6678.6,6680.4,6682.2,6678.6,7,9352320
1/30/2023 10:00,6680,6681.6,6681.6,6680,6,8017040
1/30/2023 10:01,6682.6,6682.6,6682.6,6682.6,3,4009520
1/30/2023 10:02,6683.4,6680,6685.6,6680,10,13365800
1/30/2023 10:03,6679.8,6678.8,6679.8,6675,23,30722840
1/30/2023 10:04,6681,6680.4,6683.2,6680.4,14,18709800
1/30/2023 10:05,6680.6,6674.8,6682.2,6674.8,13,17366080
1/30/2023 10:06,6677.6,6674.6,6677.6,6674,10,13350440
1/30/2023 10:07,6673.4,6669,6673.4,6669,17,22680760
1/30/2023 10:08,6668.6,6670,6671.2,6668.6,7,9338000
1/30/2023 10:09,6669.2,6665,6669.2,6665,11,14667600
1/30/2023 10:10,6660,6658.6,6662,6657.4,12,15983160
1/30/2023 10:11,6658.6,6660,6660.6,6658.6,4,5327840
1/30/2023 10:12,6659,6663,6663,6659,11,14653800
1/30/2023 10:13,6661.4,6665.8,6665.8,6661.2,8,10660440
1/30/2023 10:14,6664.2,6668,6668,6664.2,9,12000120
1/30/2023 10:15,6670.6,6670.6,6670.6,6670.6,1,1334120
1/30/2023 10:16,6674,6672.2,6674,6672.2,3,4003680
1/30/2023 10:17,6674.8,6674.8,6678.2,6674.8,4,5340600
1/30/2023 10:18,6674,6672.2,6674,6672,10,13345640
1/30/2023 10:19,6671,6672.4,6672.4,6670.4,16,21347600
1/30/2023 10:20,6675.2,6678,6680.2,6674.6,7,9346840
1/30/2023 10:21,6674.4,6674.8,6675.6,6674.4,4,5339840
1/30/2023 10:22,6673.2,6673.2,6675.6,6672.2,8,10678880
1/30/2023 10:23,6673.4,6672.6,6675.2,6672.6,4,5338960
1/30/2023 10:24,6671.8,6666.6,6671.8,6666.6,2,2667680
1/30/2023 10:25,6672.2,6670.4,6672.2,6666.4,4,5335800
1/30/2023 10:26,6669.2,6667.2,6669.4,6667.2,6,8002320
1/30/2023 10:27,6669,6667.8,6669,6667.8,3,4000920
1/30/2023 10:28,6668.6,6674,6674,6668.6,6,8004080
1/30/2023 10:29,6671,6669.6,6675.2,6669.6,18,24019680
1/30/2023 10:30,6671,6663,6671,6663,13,17333160
1/30/2023 10:31,6663,6661.2,6663,6657.4,16,21313440
1/30/2023 10:32,6661.4,6658.8,6661.4,6658.8,4,5328440
1/30/2023 10:33,6662,6661,6662.6,6661,5,6661960
1/30/2023 10:34,6664,6662.2,6664,6662.2,2,2665240
1/30/2023 10:35,6660.8,6657.4,6663.8,6657.4,9,11990440
1/30/2023 10:36,6659,6658.4,6659,6656.2,9,11984520
1/30/2023 10:37,6658.6,6659.8,6659.8,6658.6,11,14650240
1/30/2023 10:38,6661.8,6660,6664,6660,7,9327000
1/30/2023 10:39,6662,6657.6,6662,6657.6,8,10656600
1/30/2023 10:40,6659.8,6665.8,6665.8,6659.8,3,3997120
1/30/2023 10:41,6662,6664.8,6664.8,6662,2,2665360
1/30/2023 10:42,6661.6,6657.2,6661.6,6657.2,10,13320280
1/30/2023 10:43,6657.2,6656.6,6659.2,6656.2,8,10652400
1/30/2023 10:44,6656.2,6659.4,6659.4,6656.2,11,14648080
1/30/2023 10:45,6659.4,6657.4,6660.4,6657,7,9322240
1/30/2023 10:46,6656.2,6655.8,6656.2,6655.8,3,3993600
1/30/2023 10:47,6655.4,6655,6655.4,6648.4,18,23953360
1/30/2023 10:48,6658,6656.2,6658.2,6656.2,5,6657360
1/30/2023 10:49,6656,6650.2,6656,6650.2,4,5322600
1/30/2023 10:50,6651.8,6647,6651.8,6647,10,13297920
1/30/2023 10:51,6650,6648,6650,6646.2,10,13296800
1/30/2023 10:52,6644,6642.6,6645.8,6642.6,11,14615480
1/30/2023 10:53,6642.4,6643.2,6643.2,6641,16,21253400
1/30/2023 10:54,6643.2,6645,6645,6643.2,3,3986280
1/30/2023 10:55,6642,6638.2,6642,6638.2,5,6640920
1/30/2023 10:56,6637,6636.6,6637,6636.6,3,3982080
1/30/2023 10:57,6635,6637,6637,6631.8,7,9288840
1/30/2023 10:58,6637,6636,6637.2,6636,6,7965280
1/30/2023 10:59,6636,6638,6641.2,6636,7,9294520
1/30/2023 11:00,6642,6640.6,6645,6638.2,15,19923160
1/30/2023 11:01,6641,6642.6,6642.6,6640.2,8,10627040
1/30/2023 11:02,6643,6641.8,6645,6641.8,5,6642760
1/30/2023 11:03,6641,6641,6641.8,6640.2,7,9297080
1/30/2023 11:04,6640.6,6641,6642,6640.6,6,7969840
1/30/2023 11:05,6642,6645.6,6646,6642,11,14618800
1/30/2023 11:06,6645.6,6644.4,6646,6642.6,14,18606960
1/30/2023 11:07,6647.6,6648.8,6651.6,6647.6,9,11968280
1/30/2023 11:08,6650.8,6650.2,6653,6650.2,7,9312080
1/30/2023 11:09,6650,6646.2,6650,6645.8,10,13295000
1/30/2023 11:10,6646,6643.2,6646,6641,15,19933000
1/30/2023 11:11,6645,6644.8,6645.6,6641.2,6,7972720
1/30/2023 11:12,6644.6,6644.6,6644.6,6644.6,4,5315680
1/30/2023 11:13,6647.2,6651,6651,6645.8,10,13295200
1/30/2023 11:14,6643.6,6646.4,6646.6,6643.6,5,6645400
1/30/2023 11:15,6644,6649.4,6651.2,6644,13,17286920
1/30/2023 11:16,6649.6,6648.4,6651.4,6647,7,9309280
1/30/2023 11:17,6644.6,6646.6,6647,6642.2,7,9302840
1/30/2023 11:18,6646.6,6647,6647,6642.2,8,10632520
1/30/2023 11:19,6647,6650,6650,6647,4,5319320
1/30/2023 11:20,6648.4,6649.2,6649.2,6648,16,21274840
1/30/2023 11:21,6649.2,6651,6651,6649.2,3,3990200
1/30/2023 11:22,6651.2,6647.8,6651.2,6647.8,13,17288200
1/30/2023 11:23,6648.2,6651,6651,6648.2,2,2659840
1/30/2023 11:24,6653.8,6656,6658,6653.8,8,10648400
1/30/2023 11:25,6656,6654,6656,6653,6,7985600
1/30/2023 11:26,6654,6657.6,6657.8,6654,6,7988240
1/30/2023 11:27,6654.6,6652.8,6655,6652.8,17,22624920
1/30/2023 11:28,6651.2,6648.8,6653,6648.8,7,9310920
1/30/2023 11:29,6652.8,6653.2,6653.2,6647.6,6,7980720
1/30/2023 11:30,6655.6,6654.4,6661.4,6654.4,15,19973600
1/30/2023 13:01,6652.8,6648.8,6652.8,6648.8,8,10643240
1/30/2023 13:02,6645,6652.4,6652.4,6645,8,10636960
1/30/2023 13:03,6648.6,6654.6,6654.6,6648.6,4,5321720
1/30/2023 13:04,6653.6,6649.6,6653.8,6649.6,10,13304240
1/30/2023 13:05,6649.8,6647.4,6649.8,6647.2,5,6648160
1/30/2023 13:06,6647,6647.2,6648.8,6647,8,10636480
1/30/2023 13:07,6645,6647.6,6647.6,6645,5,6646240
1/30/2023 13:08,6650,6649.4,6650.2,6649.2,7,9309840
1/30/2023 13:09,6650,6652,6652,6650,5,6650720
1/30/2023 13:10,6649.2,6646,6649.2,6646,9,11966240
1/30/2023 13:11,6646,6645,6647.4,6643.4,12,15947360
1/30/2023 13:12,6644.4,6644.2,6645,6642,15,19930560
1/30/2023 13:13,6641.8,6636.8,6641.8,6636.8,14,18591600
1/30/2023 13:14,6639,6637.6,6640.4,6637.6,4,5311160
1/30/2023 13:15,6641.4,6641.4,6641.4,6641.4,1,1328280
1/30/2023 13:16,6639.8,6639,6639.8,6637.6,8,10622240
1/30/2023 13:17,6639.2,6639.2,6639.2,6639.2,2,2655680
1/30/2023 13:18,6637,6636.6,6637,6636.6,2,2654720
1/30/2023 13:19,6635,6632.4,6635.2,6632.4,7,9287080
1/30/2023 13:20,6632.8,6633.4,6633.4,6632.8,6,7959680
1/30/2023 13:21,6632.4,6632.4,6632.6,6632.4,7,9285480
1/30/2023 13:22,6632,6630.8,6632,6630.8,4,5305040
1/30/2023 13:23,6631.2,6622.6,6631.2,6622.6,13,17232640
1/30/2023 13:24,6625.6,6626.6,6626.6,6624.8,9,11926480
1/30/2023 13:25,6629,6623.6,6629.2,6622.6,12,15903360
1/30/2023 13:26,6621.2,6620,6621.2,6620,5,6620720
1/30/2023 13:27,6615.2,6618,6618,6615.2,10,13231760
1/30/2023 13:28,6623.2,6628.2,6628.2,6623.2,7,9276480
1/30/2023 13:29,6627.6,6627,6627.6,6626,10,13253560
1/30/2023 13:30,6625.6,6625.4,6625.6,6625,6,7950440
1/30/2023 13:31,6624,6624,6624,6624,1,1324800
1/30/2023 13:32,6625.6,6621.2,6625.6,6620,12,15893520
1/30/2023 13:33,6622.2,6618.8,6622.2,6618.8,5,6620280
1/30/2023 13:34,6619.8,6620.4,6620.4,6617.2,27,35743120
1/30/2023 13:35,6621,6625.8,6625.8,6621,10,13244080
1/30/2023 13:36,6625.4,6626,6626,6625.4,2,2650280
1/30/2023 13:37,6627.8,6629.4,6629.4,6626,5,6628000
1/30/2023 13:38,6628.8,6626.6,6628.8,6626.4,8,10603520
1/30/2023 13:39,6627.2,6626,6628,6626,4,5301800
1/30/2023 13:40,6630,6628.2,6630,6628.2,9,11933080
1/30/2023 13:41,6629,6627.8,6629.8,6625.8,9,11929200
1/30/2023 13:42,6626.2,6628,6628,6626,6,7952400
1/30/2023 13:43,6629,6631,6631,6629,6,7955960
1/30/2023 13:44,6631,6629.4,6631,6629.4,5,6630000
1/30/2023 13:45,6631,6630,6631.2,6629.8,5,6630600
1/30/2023 13:46,6629.6,6628.4,6630.6,6628.4,5,6629680
1/30/2023 13:47,6632.2,6633.6,6633.6,6632.2,3,3979600
1/30/2023 13:48,6632,6632.8,6632.8,6632,4,5306000
1/30/2023 13:49,6634,6635,6635,6634,7,9288280
1/30/2023 13:50,6635,6632.2,6635,6632.2,5,6634240
1/30/2023 13:51,6633,6629,6633.8,6629,4,5305160
1/30/2023 13:52,6630,6630.6,6630.6,6629,15,19890560
1/30/2023 13:53,6630.8,6631.6,6631.6,6630.8,4,5304800
1/30/2023 13:54,6632,6632.4,6633,6632,6,7958760
1/30/2023 13:55,6632.6,6627.6,6633,6627.4,28,37127760
1/30/2023 13:56,6626,6623.6,6626,6623.6,11,14575520
1/30/2023 13:57,6624.6,6627,6627,6624.6,6,7950480
1/30/2023 13:58,6626,6623.4,6626,6623.4,6,7949880
1/30/2023 13:59,6623.6,6623.6,6623.6,6623,8,10597320
1/30/2023 14:00,6625.2,6628.2,6628.2,6625.2,9,11927960
1/30/2023 14:01,6630.2,6630.8,6631,6629.4,9,11933920
1/30/2023 14:02,6630,6630,6630,6629.2,5,6629720
1/30/2023 14:03,6629.8,6627,6630,6627,16,21212560
1/30/2023 14:04,6626.8,6631,6631,6626.6,10,13257560
1/30/2023 14:05,6628,6628,6628.6,6628,5,6628360
1/30/2023 14:06,6628,6627,6628,6627,2,2651000
1/30/2023 14:07,6627.2,6626.4,6627.2,6625,22,29154920
1/30/2023 14:08,6623.4,6623,6624,6622.6,13,17221000
1/30/2023 14:09,6623,6623,6623.2,6621.6,21,27814240
1/30/2023 14:10,6622,6622,6622,6621.2,9,11918960
1/30/2023 14:11,6622,6623,6623.4,6621.8,9,11920840
1/30/2023 14:12,6623,6622.8,6623,6622.8,4,5298320
1/30/2023 14:13,6622.6,6624.2,6624.2,6622.6,8,10596560
1/30/2023 14:14,6624.2,6624.2,6624.2,6624.2,0,0
1/30/2023 14:15,6624,6622.2,6624,6622.2,16,21191800
1/30/2023 14:16,6623.6,6623.6,6627.8,6623.6,46,60958000
1/30/2023 14:17,6622.2,6625.6,6625.6,6622.2,18,23847880
1/30/2023 14:18,6624.8,6624.2,6625.4,6624.2,9,11924200
1/30/2023 14:19,6622.6,6620.2,6623.8,6619.6,22,29130680
1/30/2023 14:20,6620.2,6621.8,6621.8,6620.2,10,13241880
1/30/2023 14:21,6623,6620.4,6623.4,6620.4,14,18541840
1/30/2023 14:22,6620.4,6626.8,6626.8,6620.2,20,26492080
1/30/2023 14:23,6626.2,6627.2,6629.2,6625.6,19,25182760
1/30/2023 14:24,6628.2,6629.6,6629.6,6628.2,3,3977320
1/30/2023 14:25,6632.4,6632.6,6632.6,6630.4,13,17242880
1/30/2023 14:26,6635,6636,6636.4,6635,8,10617240
1/30/2023 14:27,6635,6634.6,6635,6632.8,12,15920480
1/30/2023 14:28,6634,6633.4,6634,6632.4,10,13266640
1/30/2023 14:29,6633.8,6631,6635,6631,19,25204920
1/30/2023 14:30,6630.4,6627.2,6630.4,6625.4,21,27836880
1/30/2023 14:31,6626.6,6628,6628.6,6625.8,12,15905120
1/30/2023 14:32,6628.8,6627,6632,6627,10,13256800
1/30/2023 14:33,6626.6,6631.2,6631.2,6626.4,13,17234080
1/30/2023 14:34,6629.6,6631.8,6631.8,6627.6,5,6629240
1/30/2023 14:35,6629.8,6628,6629.8,6628,3,3977400
1/30/2023 14:36,6628.4,6624.4,6628.4,6624.4,10,13251040
1/30/2023 14:37,6624.6,6628.2,6630,6624.6,10,13254080
1/30/2023 14:38,6628.2,6627.2,6628.8,6627,9,11929960
1/30/2023 14:39,6627.6,6629.4,6629.4,6627.6,8,10604800
1/30/2023 14:40,6628,6627.2,6628,6627.2,2,2651040
1/30/2023 14:41,6628,6623.6,6628,6623.6,3,3975720
1/30/2023 14:42,6622.2,6623.4,6623.4,6622.2,4,5298240
1/30/2023 14:43,6623.6,6621.4,6623.6,6621.4,13,17218920
1/30/2023 14:44,6620,6620,6620.4,6620,6,7944240
1/30/2023 14:45,6620.4,6619.8,6621.4,6619.8,8,10593040
1/30/2023 14:46,6624,6623.6,6624.6,6621.6,6,7947880
1/30/2023 14:47,6622.6,6621.8,6624,6621.8,7,9272000
1/30/2023 14:48,6621.4,6619.2,6621.4,6619.2,9,11915600
1/30/2023 14:49,6618.4,6620.8,6620.8,6618.4,6,7943200
1/30/2023 14:50,6619,6623,6623,6619,9,11916600
1/30/2023 14:51,6621.6,6621.6,6621.6,6620.4,8,10593480
1/30/2023 14:52,6621.4,6621.4,6622.8,6620.4,8,10594360
1/30/2023 14:53,6620.6,6620.6,6621.8,6620.6,18,23836680
1/30/2023 14:54,6621,6623,6623.2,6621,16,21191680
1/30/2023 14:55,6624,6625.4,6625.4,6622.6,36,47688160
1/30/2023 14:56,6624,6622,6624,6621.8,22,29140640
1/30/2023 14:57,6622.2,6621.4,6623.2,6621.4,16,21190320
1/30/2023 14:58,6622,6622.8,6622.8,6621.4,8,10595320
1/30/2023 14:59,6622.4,6622.2,6623.4,6622.2,28,37085640
1/30/2023 15:00,6622,6621.4,6625,6621,33,43707680
1/31/2023 9:31,6614.8,6622,6622,6604.6,23,30425200
1/31/2023 9:32,6613.2,6610.2,6614.2,6610,11,14546120
1/31/2023 9:33,6610,6615.8,6615.8,6604,14,18503480
1/31/2023 9:34,6613.8,6635,6635,6613.8,10,13239560
1/31/2023 9:35,6627.8,6639.4,6639.4,6627.8,29,38454360
1/31/2023 9:36,6639,6639.2,6645.8,6635.4,22,29217880
1/31/2023 9:37,6635.6,6641.6,6647,6635.6,17,22586400
1/31/2023 9:38,6641,6640.6,6642.8,6638,11,14610720
1/31/2023 9:39,6642.8,6645.4,6646,6642.4,24,31890440
1/31/2023 9:40,6645.6,6642,6646,6641.4,23,30560280
1/31/2023 9:41,6641.8,6648.6,6648.6,6639.8,27,35875880
1/31/2023 9:42,6653,6649.2,6653,6647.8,19,25269600
1/31/2023 9:43,6649,6651,6653.2,6647.4,30,39905320
1/31/2023 9:44,6650,6649.2,6650.2,6645.8,10,13296960
1/31/2023 9:45,6646.2,6647.6,6647.6,6645,11,14622440
1/31/2023 9:46,6648.8,6652.2,6652.2,6646.4,26,34580640
1/31/2023 9:47,6652.4,6650.8,6663.6,6649.2,27,35934320
1/31/2023 9:48,6650,6650.8,6653.4,6650,13,17294960
1/31/2023 9:49,6651.4,6648.8,6651.4,6648.4,19,25269840
1/31/2023 9:50,6650.8,6650.8,6652.8,6649,12,15962600
1/31/2023 9:51,6650.2,6650,6650.2,6647.4,11,14627520
1/31/2023 9:52,6650.8,6645.2,6650.8,6645.2,20,26592440
1/31/2023 9:53,6645.4,6650,6650,6644,8,10634240
1/31/2023 9:54,6647.4,6651.2,6653.4,6647.4,22,29266120
1/31/2023 9:55,6653.6,6650.6,6653.6,6650,6,7981640
1/31/2023 9:56,6649.4,6649.6,6653.4,6649.4,14,18621640
1/31/2023 9:57,6649.6,6651.8,6654,6649.6,6,7982520
1/31/2023 9:58,6651.8,6653.6,6653.6,6650.2,6,7981800
1/31/2023 9:59,6652.8,6652.2,6652.8,6649.4,15,19954120
1/31/2023 10:00,6652.8,6652.2,6654.8,6650.8,16,21288640
